,tweet,labels
10226,"beken banget di media sosial jadi penasaran nyobian kata orang sunda , alias mencoba . ternyata yang me - review tidak semua komen nya bisa dipercaya ya . hmm . bakso nya tidak enak , rasa tepung semua . kotor banget . banyak lalat . musik-musik gaya anak jalanan begitu yang dipasang kencang-kencang . ah . enggak banget deh . beda kelas nya . pesan 2 mangkok bakso berdua teman , hanya dimakan 1 suap bakso nya . karena lebih sayang perut nya kemasukan . lanjutan",-1
16964,bagiku menerima org yg baru adalah toksik buat tubuhku itu artinya aku harus melupakan kamu membuat kenangan deng ,-1
9686,"maybe , sate maranggi di sini yang terbaik . patut dicoba banget apalagi harga nya juga cukup terjangkau . bahkan sampai tambah porsi karena enak banget . rekomendasi terutama pas sore hari",1
8387,kalau urusan makanan yang enak-enak sepertinya braga permai deh raja nya . bukan hanya makanan yang mantap tapi suasana nya pun semakin hangat apalagi bersama keluarga atau teman . lagu-lagu nya juga menghibur banget .,1
1738,"minggu , 24 juli 16 sampai di maja house pukul 18.00 . untuk menuju restoran harus melalui puluhan anak tangga maaf tidak dihitung hehe .. arti nya tidak cocok jika neng ajak orang tua di atas 60 tahun . tapi saya juga tidak memperhatikan apakah ada lift untuk pengunjung . lampu di restoran terlalu gelap apalagi jika berkunjung mengajak anak-anak . kurang cocok .",-1
61,"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",-1
3987,produk yang cocok untuk para pejuang cinta dalam hati . pas banget untuk ungkapkan isi hati . order by line annisatrh :,1
4580,"bandung terkenal akan sorga nya penggemar kuliner , minuman dan masakan yang berbagai jenis dan khas ada di kota bandung , mulai restoran kaki lima sampai restoran kelas bintang . ada yang menarik dari rm sari sunda ini , adalah pinggiran jalan raya by pass - soekarno hatta , dekat jalan tol buah batu atau tol moch toha , keunggulan-keunggulan lainnya adalah tempat sangat besar dan luas , dengan fasilitas kolam ikan , tempat bermain untuk anak / keluarga , ada taman .",1
16776,jika mencintai kamu adalah dosa terbesar aku rela kok masuk neraka terdalam 2019pilihjokowikyaimaruf,1
12193,"tempat makan yang menawarkan pemandangan menarik . buka sampai malam . makanan cukup variatif , mulai aneka steak , makanan jepang , dan makanan indonesia meski sedikit sekali .",1
18921,yang akan disampaikan oleh darmin nasution nanti adalah kebijakan pemerintah dalam mendukung dunia usaha pariwisat ,1
16271,hahahahahahahaha aku pun ada sejarah dgn wani nasib ada kaklong idaaa hahahaha alaaa bodo laaaaaa,1
18784,semalam lepas tol kota kemuning nampak ada orang terbaring atas jalan ingatkan accident jatuh sebab jalan licin lepas hu ,-1
7456,kangen,1
10869,"andai saja memukul orang itu bukan tindakan kriminal , pasti sudah seru saat itu memukulkan anggota fpi .",-1
1316,tidak usah sok galau tentang kepribadian orang lain ! tidak mau juga kan kalau lo digituuin,-1
2692,terus ahok kamu bebaskan sampai sekarang begitu saja ? sekarang dia sudah jadi tersangka tapi kalian tidak mau memenjarakan dia apa maksud kamu ? kalian memang sengaja mau memerangi islam di negara ini .,-1
15202,dan aku pantang bila tengok mak pak yang jadi bodo n buat bodo bila anak misbehave kat public ,-1
6088,"dia itu tidak sadar-sadar sejak 2014 , bahwa si prabowo itu tidak ada apa2 nya dan tidak bisa apa-apa , tapi masih terus saja digadang-gadang jadi capres",-1
10202,"the valley . siapa yang tidak tahu nama restoran ini ? para pecinta kuliner maupun orang-orang yang menyukai pemandangan bandung di malam hari sambil dine in , tempat ini salah satu yang saya dan keluarga rekomendasikan untuk bersantap . dari awal kita reservasi , mereka sudah memberikan pelayanan yang terbaik untuk restoran yang berkelas karena walaupun banyak sekali yang reservasi tetapi mereka memberikan pelayanan terbaik . mantap .",1
4831,kadang tidak suka ada teman yang mengirim jelekin prabowo sandi .,-1
12792,terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th ,1
9349,menurut saya tempat nya kecil dan juga buat yang di outdoor nya tempat nya rentan kalau kehujanan tapi sejauh ini makan nya lumayan enak untuk harga nasi start from 25 ribu saja . terus ada wifi nya juga,1
1367,zadit tidak ada kualitas nya mengkritik tanpa melihat fakta . seperti tong kosong berbunyi nyaring sehingga terlihat bodoh .,-1
10228,"saya pancasila , nkri harga mati . lalu saya serahkan semua proyek infrastruktur pada china . hayyaaa . lu tipu kita orang ya ? slogan tinggal slogan . ternyata yang benar adalah : saya cinta china , nkri mau mati karena kebanyakan utang pada china . maka dari itu dana haji mau saya embat juga .",-1
12751,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,1
7087,aku pengin marah . parah telkomsel ikut ikutan lemah otak .,-1
15325,hi iblis aku ada ter rapat dengan seorang janda anak satu masih baby isu dia ex husband dia kawan baik aku kami be ,-1
23380,mencermati kekinian covid menimpa olahragawan rossi ronaldo ibrahimovic vonis positif covid karantian mandiri vaksin swab cek ulang negatif bertanding,-1
18797,ada orang yg ucapannya ttg dunia menarik hatimu dan dipersaksikan kpd allah isi hatinya padahal ia adlh penantang yg ,1
21619,yang kita sebut perbuatan pengecut dan biadab itu ya yang seperti iniemoga pelau cepat ditangkap dan ,-1
11991,saat tiba di padma hotel sudah siang hari perut lapar . akhirnya kami memesan nasi goreng . lumayan enak untuk nasi goreng nya meski harga nya agak sedikit mahal . sore hari nya kami menunggu tea afternoon dengan berbagai macam jenis makanan ringan dan kue kue ala sunda . malam nya kami mencoba makan malam ala kamu cabang makan dengan menu seafood . wow luar biasa dekorasi resto nya .,1
11061,cape banget kemarin kena macet malang - say dari yang jatah nya 2 jam perjalanan jadi 5 jam,-1
11965,"rumah stoberi adalah sebuah caf dan penginapan yang dilengkapi dengan perkebunan strawberry , playground , outbound . tempat ini sangat enak untuk bersantai terlebih jika cuaca tidak panas . udara sejuk , pemandangan bagus , tempat bermain anak yang sangat disukai anak-anak , makanan enak dengan harga terjangkau serta tersedia musala yang layak",1
9255,"saya sekali nya pesan makanan di sini waktu itu memesan pizza durian . hanya sekadar iseng saja awal nya , kemudian saya datang dan memesan . restoran nya tidak begitu sulit untuk dicari , makanan dan minuman pun beragam . memang tidak begitu besar untuk tempat makanan nya . lebih kepada kedai . setelah jadi , dan saya mencoba itu pizza durian , benar-benar enak banget . benar-benar durian asli ditambah dengan ada keju mozzarella .",1
19614,saya sudah mulai was was kebruralan dan ketidaknetralan aparatemoga masih terdapat aparat yg hatinya jernih utk hentikan ca ,-1
19461,yes bener banget danetuju sekali sma mimin dengan mamahbijak,1
15683,hahahahah jangan tanya kenapa aku suka dia ,1
1854,"karena menginap di resort nya maka kita memutuskan untuk makan malam di sana , secara keseluruhan tidak ada yang spesial dari makanan nya . karena sudah malas keluar jadi kita coba restoran nya .",1
20880,mari belajar bersyukur untuk segala sesuatu yang ada pada dirimu hargai apa yang saat ini sudah kamu dapatkan dan jagalah dengan ,1
6109,"setelah sekian lama tidak berkunjung ke tempat ini , kangen juga makan gado-gado khas tengku angkasa . kini dilengkapi dengan lift music soulkustik yang diawaki anak-anak muda keren . sempat bincang sejenak dengan kru group ini , ternyata mereka siap terima orderan untuk mengisi acara . jika anda berminat untuk mengundang grup ini silahkan lihat di kartu nama yang saya sertakan di tulisan ini .",1
8460,rendang java coffee merupakan makanan minuman terenak d dunia . kedua nya dari indonesia ! mantap !,1
9119,"di bandung relatif sulit mencari bakso malang yang enak sampai mencoba ke restoran ini , terletak di cihampelas walk yang ramai jadi tidak heran kalau hampir selalu banyak pengunjung yang makan di sini , rasa daging pada bakso nya sangat enak dan kenyal .",1
5570,kepala kakap nya mantap banget empuk dengan paduan bumbu yv meresap dengan pas . pelayanan nya serba cepat dan ramah khas rumah makan padang . lokasi strategis dan tempat parkir yang memadai .,1
11291,"dusun bambu , terletak di kaki gunung burangrang . dari terminal ledeng bandung , banyak sekali petunjuk jalan menuju lokasi , sehingga tidak perlu khawatir mendasar . kami tiba di dusun bambu pada hari jumat , libur panjang , antrian masuk ke dalam lokasi sangat panjang . karena kami menginap , kami tidak dikenakan biaya masuk , tetapi jika hanya akan bermain dan melihat-melihat biaya masuk nya rp 10.000 / orang dan rp 10.000 / mobil .",1
2706,makanan nya enak . suasana nya nyaman . sejuk . sambal stroberi nya enak . bisa petik stroberi sendiri . cocok buat makan makan sama keluarga .,1
22236,jika kamu memang berharga di mata seseorang tak ada alasan baginya tuk mencari seorang yg lebih baik darimu ,1
1611,menyediakan makanan khas sunda yang enak di bandung . tidak jauh dari hotel . walaupun antre karena long weekend tapi akhirnya bisa duduk juga di meja nomor 27 .,1
22951,Kami yang kamu anggap biadab ini yg turut mendoakan keselamatan keluarga mu ,-1
11299,"positif nya : harga cukup terjangkau , pilihan produk beragam terlebih ada produk ramah terhadap kolestorel . hm . bisa jadi alternatif .",1
4040,"restoran dengan konsep alam , udara dingin di malam hari . makanan favorit saya di sini sop buntut goreng yang enak .",1
2659,sampai sekarang belum ada keluhan atau barang rusak sih . semoga untuk kedepan nya tidak ada masalah dengan barang nya . lebih nya saya suka banget sama ini hp . terima kasih doki doki toko .,1
15489,aku tak cakap tak sedih sedih la gak tapi most of the time aku tutup mata dah cenna burn 15 hinggit,-1
1034,tenggelamkan partai sengkuni,-1
11234,mengapaen sih jawa moektito sok mayoritas,-1
3766,"awal nya saya mendengar resto ini dari kakak saya dan bilang bahwa steak di sini enak dengan porsi yang besar . saya pun mengajak keluarga untuk berbuka puasa . kami bertiga memesan tenderloin steak dengan baked potato , t - bone steak dengan potato puree dan burger steak dengan nasi . ketika pesanan datang , saya kaget dengan ukuran steak yang besar ditambah dengan potato puree yang banyak .",1
4780,"dilihat dari lokasi nya yang berada di area highland , memang membuat tempat ini cocok untuk bersantai dan menikmati pemandangan , juga terkesan romantis , terutama di malam hari dengan gemerlap cahaya dari city cahaya of bandung . akan tetapi ditinjau dari kesigapan pelayanan , sangat mengecewakan . saya dua kali berkunjung ke tempat ini dan harus menunggu lebih dari setengah jam untuk menikmati order saya . mungkin akan berpikir dua kali kalau harus ke sini lagi .",-1
11048,sepertinya ingin sekali marah sama indosat ini .,-1
15810,makannya jangan baperin aku aku orangnya baperan uuuuuini peyuk ,-1
2202,"dari kecil suka makan ayam jogja , kalau beli pasti dibungkus dan makan di rumah sama keluarga . rasa ayam nya dari dulu tidak berubah , dan itu yang membuat saya suka . ayam nya itu ayam kampung , dan biasanya saya beli yang 1 ekor . sambal nya juga cocok dimakan dengan ayam .",1
7719,"pilihan makanan nya beragam , bikin ingin ambil semuanya . yang unik tentunya karena dimakan tanpa piring , alias beralaskan daun . rasanya pun lumayan enak",1
13830,iya deh kamu kan mommy yang sempurna ,1
2245,"apa ini , harga mahal , pelayanan minus !",-1
3887,"tiap kali ke sini , pasti pesan mie ulang tahun walaupun tidak ada yang berulang tahun . rasanya pas banget di mulut . cangkang kepiting super nya juga juara !",1
12838,hai masih ingat akueseorang yang kau buat terbang tinggi lalu dengan kejamnya kau hempaskan aku begitu saja mengata ,-1
93,"yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan",-1
6222,"untuk suasana nya enak dan dingin , menjelang sore akan lebih terasa apabila obor-obor di depan saung dinyalakan , pemandangan air buatan dan bunyi gemericik air menyenangkan sekali , kampung daun menjadi salah satu tempat favorit keluarga saya .",1
9630,menyedihkan,-1
20808,perempuan ni dia tak suka kongsi suami tapi mereka suka sangat sangat kongsi aurat dekat lamanosial ,-1
5228,kalau berbohong itu jokowi dan cebong ahli nya . hayo sapa lagi yang mau menambahkan,-1
6871,masih sangat kecewa dengan koneksi nya smartfren . padahal sekarang lagi promo besar-besar - an ! payah !,-1
2258,"untuk yang sering main di sekitar dago , beehive kafe eatery adalah tempat yang cocok . buat yang bawa anak kecil juga pas , karena ada tempat bermain bagi anak-anak . desain ruangan sangat bagus dan makanan yang disajikan juga lezat , terutama steak .",1
9875,tempat nya bagus dan view nya juga okay . cocok untuk acara keluarga . khas makanan di sana itu nasi liwet dan tempe mendoan . itu rekomendasi . buat foto-foto juga bagus . boleh dicoba kalau datang ke bandung teman-teman . oh ya kalau ke sini bawa lotion anti nyamuk . karena lokasi nya seperti di hutan begitu jadi nya banyak nyamuk . secara keseluruhan baik setimpal .,1
11272,"banyak makanan , menu nya banyak sekali . tempat nya asyik untuk pemandangan dan jangan hujan saja karena banyak sekali tempat terbuka .",1
5069,jika mau suki ke sini saja ! di sini sayuran nya segar dan varian nya banyak . enak dan sehat . kuah nya juga ketagihan ! pelayanan nya baik . poko nya rekomendasi !,1
8651,"tempat nya sangat nyaman , nyaman , dan modern , pas banget untuk nongkrong dan bersantai bersama teman-teman setelah mengitari kota bandung seharian . makanan dan minuman nya cukup terjangkau dan berkualitas baik . rekomendasi kafe banget di bandung .",1
16619,allahu takpelaa nanti aku post hadiahh,1
7882,"saya mencoba di outlet tsm . tempat nya lumayan nyaman , karena datang rombongan per 10 orang , kita dapat kursi di bagian luar . menu utama nya steak lokal dengan harga terjangkau . saya memesan spagheti carbonara . porsi nya tidak terlalu besar , sesuai dengan harga nya . isi nya terdiri dari spagehti dengan campuran keju cair dan sedikit irisan daging . rasanya lumayan . fish and chip lumayan enak , ikan dari nya juga enak .",1
6464,"kami makan malam di ulang tahun anggota keluarga . dari sekeluarga , memang cuma saya saja yang muntaber dari jam 10 malam sampai jam 3 subuh , tetapi dugaan saya , dapat keracunan atau kuman dari menu tim ikan kakap . sebaiknya pihak restoran perlu sering periksa kesegaran bahan seafood mentah .",-1
641,"saya ke sini dengan membawa tamu , mereka senang dengan makanan di sini karena keunikan nya makan benar-benar beralaskan daun bukan piring . ada dapur terbuka di bagian belakang , menjadikan salah satu keunikan lainnya di sini . staff nya pun ramah-ramah . harga pun muat di kantong , tidak mahal , terjangkau .",1
16404,haa aku merindukan rumahku di new york sana keluhnya ,-1
3898,kafe yang terletak di daerah dago tepat nya daerah teuku umar ini menawarkan suasa nya yang tenang dan nyaman . akses mudah dicapai . pilihan makanan dan minuman sangat beragam untuk makan siang atau makan malam atau sebatas bersantai sambil mengobrol . tersedia wifi dan power plug .,1
10446,"kudu cobain yang nama nya rujak serut pindang ! asam mangga muda , asin , pedas dan balacan alias terasi nya enak pola di mulut gas . biar balance dicoba juga terong abon sama dessert nya cendol greentea . harga aman dikantong loh .",1
9865,"kangkung cah sapi dan udang kipas adalah menu wajib saya di sini , udang kipas sangat enak dibumbui dengan mentega ditambah irisan jeruk nipis yang menyegarkan . kangkung cah bumbu sangat enak hanya harus bersiap daftar tunggu karena tempat terbatas",1
22242,tak aku x sesat waze ni yg tnjuk jalan salah aku cuma nk bertikam lidah je walaupon salah hahah ,1
16037,ada yang pake telegram add aku dong terus kita ngobrol gimana add aku ya 'iniadhistyzara' ok ,1
9448,"halo kali ini saya berkunjung ke bakso boedjangan yang berada di ciwalk - cihampelas walk . tempat nya nyaman , bakso nya enak dan lezat . saya mencoba bakso yang isi mozzarella , wih . mantap . tidak lupa saya pesan juga es durian kesepian , mantap . selamat makan dan terima kasih .",1
11504,awas demo nanti di jedor jedorin sama oknum berwenang mayoritas,-1
4037,"rumah stroberi ini sangat luas dan enak buat nongkrong ramai-ramai sekeluarga . stroberi nya sih biasa saja ya . makanan juga standar sih tidak unik-unik amat . hanya enak saja tempat nya . bisa petik stoberi juga , hanya harus pesan dan pas lagi musim petik .",1
5265,"boleh marah tidak ? sungguh terlalu indosat , sudah hampir 24 jam saya tidak bisa akses data . terima kasih atas pelayanan yang super lemah otak ini indosat .",-1
17885,bagaimana kalau kita balikan ke mantan yang pernah sakiti kita gak ada yg salah dengan balikan sama mantan perb ,-1
455,suki nya enak . beli 10 gratis 1 . harga terjangkau . bisa pilih dua macam kaldu .,1
2580,"lokasi daerah maribaya lembang bandung . agak jauh dari keramaian kota dan terletak agak tersembunyi . suasana cukup nyaman dengan udara yang dingin sekali . untuk rasa makanan yang kami pesan steak dan iga bakar , cukup enak sayang harga nya terlalu mahal dengan porsi sedikit . begitupun hot tea yang kami pesan cukup mahal untuk ukuran kafe sejenis .",1
1600,paket yang 8 gb . astaga ini sudah bilang dari kapan tahu ditanyakan lagi lo .,-1
16865,aku insaf tunggu van ni aku yg aku jalan kaki kang,-1
22313,mmg dalam hidup ni semua benda kita tak boleh expect too much nnt kita sakit too much jugak since aku dah hadap ,-1
7455,masih sama minimal bikin tidak senang ini jaringan lemah otak dari kemarin padahal sudah dapat notif dari indosat . lihat bar jaringan . bad sinyal .,-1
8011,"masakan nya enak , banyak varian nya , lokasi nya dekat dengan terminal bus , sistem nya seperti prasmanan , yang lebih enak nya itu sambal nya yang saya cari , mantaap",1
7394,"bakedrice nya recom sekali ! minuman nya oke , jus nya enak banget , harus coba berry smoothies nya ! wifi nya kenceng banget 20 mbps !",1
4412,ini kenapa semua pada mendemo sana sini tapi kalau si fadli zon dibiarkan saja .,-1
17471,malam tadi din semalam aku tak lunch sembelit hahaha,1
8052,"salah satu resto yang memiliki konsep pedesaan klasik eropa , dengan musik jerman / belanda klasik yang mengiringi kita sepanjang kita bersantap membuat suasana semakin menarik untuk datang kembali ke resto ini daftar menu terdapat berbagai macam pilihan , terbanyak adalah makanan barat tetapi tidak perlu kawatir karena ada indonesian makanan dan asian makanan yang terdapt di resto ini , secara umum makan nya sudah sesuai .",1
13487,mengenali diriku sendiri adalah kunci untuk mencapai kesempurnaan karena itu berarti aku mengetahui apa yang bisa dan tidak bisa kulakukan,1
14926,alhamdulillah adik ipar ku dan temen2nya masih selamat wlaupun ya pala nya benjol bibir nya pecah aku sedih ba ,1
1283,"varian menu di resto ini sangat banyak mulai dari makanan barat , japanise hingga sundanis traditional makanan , meja nya pun banyak sehingga jika sedang ramai kita tidak perlu susah mencari meja . rata-rata makan nya enak semua , pemandangan nya juga bagus bisa menghadap ke kolam renang juga bisa menghadap ke hutan . menu yang wajib dicoba jika makan siang di sini adalah reuceuh , rasanya enak .",1
8930,"kasihan admin baca nya om . anggarkan ginian . campur aduk antara kesal , dongkol .",-1
1411,rempah-rempah yang segar dan iga sapi pilihan menjadikan selera makan bertambah seakan ingin tambah dan tidak bosan memesan menu sop iga,1
21863,jgn nyinyirin mereka beritanya ke up mlh kesenangan ntar bocah sendok perak pcas bts themus ,-1
3105,"restoran ini termasuk jenis waralaba baru di bandung , kelebihan nya restoran ini menyediakan menu yang lain dari waralaba yang lain tentunya dengan berbagai jenis makanan dengan keju , tempat nya pun cukup luas dan nyaman .",1
4256,"lokasi strategis , nyaman , cocok untuk acara individu , berdua , berbanyak , pelayan ramah dan rapi . menu nya lengkap dari yang berat sampai ringan , sayang nya tidak diperkenankan mengambil foto menu . karena sudah makan siang di tempat lain sebelumnya , saya hanya memesan siomay kuah . 2 jempol , enak banget . kuah nya gurih , siomay nya berasa banget .",1
2720,"salah satu kuliner yang wajib dicicipi kalau kamu mengunjungi kota kembang ini . brownies amanda ini sudah sangat terkenal , bisa disebut brownies legenda . brownies panggang nya enak enak , manis nya pas . banyak varian rasa yang bia dipilih . ke bandung ? wajib beli ini .",1
9866,yang umum aja lo sudah impor . munafik najis orang indonesia . anjing,-1
9290,"kampung daun adalah salah satu restoran yang terletak di lembang . menurut saya , kualitas makanan di sini biasa saja , over harga malah .",-1
15808,pantes aku dibilang chill,1
3893,poin plus,1
1031,"harus banget nyobain kopi sanger nya ! sanger itu kepanjangan dari saling mengerti antara kamu dengan sang barista . tinggal bilang mau panas atau dingin , pahit atau manis , dan voila ! kopi akan datang tepat dengan rasa yang kamu inginkan ! kopi sanger juga disajikan dengan berbagai tambahan rasa seperti nutela , milo , ovaltine , dan avocado . pas banget kalau kamu datang ke sini malam hari .",1
13246,kawanku bilang ke aku kau orng islam kok makan bpk kan haram dengn santai ku jawab aku juga masih suka alkohol ,-1
1404,bosan . harga mahal pelayanan lama .,-1
2814,pasti ada yang membayar buni yani untuk menumbangkan ahok dalam pilkada jakarta . mungkin lawan nya ?,-1
19,"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",1
9691,siapa si dalang utama dari rizieq pion politik jelang pilpres 2019 ? prabowo subianto kah ? say kah ? jokowi kah ? atau amin rais ?,-1
13761,seger bgt yus aku tongkrongin sampe makan siang hahaha,1
17286,aku maunya daniel hehehe,1
17682,hati2 dgn rezim otoriter orde baru yg berupaya bangkit dari kuburnya dgn menebar isu pki dsb jangan buang waktu deba ,-1
12825,iya bener hahaha aku uda folback wlpun jarang pake ig hahaha fbmu apa ,1
7697,"lokasi strategis di pasteur , tersedia ruang makan pribadi untuk keluarga . nasi liwet yang kami pesan rasanya tidak terlalu gurih . karedok nya enak . ayam goreng maupun ayam bakar rasanya standar saja .",1
6666,"tempat oleh-oleh nya lengkap dan cukup nyaman , mudah dijangkau , harga nya terjangkau , serta pelayanan nya ramah",1
5236,tidak kebahagiaan,-1
16309,oh jadi itu pacar baru kamu yang abis minum lipstick tebelnya sampe nyiplak disedotan ,-1
3510,untuk yang suka wisata kuliner di sini tempat nya . one stop services . apa saja ada . harga lumayan mahal dan rasa yah lumayan juga . he he,1
10659,"makan di kampung daun sama dengan makan di hutan pegunungan alami . dilalui oleh air terjun curug kecil , suasana di kampung daun benar-benar memberi pengalaman baru , bahkan bagi saya yang sudah biasa berpetualang . makanan nya menyenangkan , tapi harga nya agak sedikit mahal , sesuai dengan pengalaman yang didapatkan pengunjung .",1
7240,bosan akan kebohogan hiruk pikuk ketidak adilan .,-1
6234,ngobrol bakal nyaman banget karena suasana nya yang dapat menciptakan ketenangan walaupun ramai dengan orang lain .,1
368,"makanan nya enak , pilihan banyak . menu buat anak-anak juga ada . jajanan tradisionlal nya juga lezat . bagus makanan",1
16600,hahaha udah makan siang sama aku aja jfclosedday,1
1030,musim hujan begini setiap hujan pasti tidak tenang takut kebanjiran . tinggal di kota saat isian kurang perhatian,-1
10839,"apa yang dipunyai yang masih freelance ini , kecuali bisa membuat diri menjadi ikhlas dan baik . banyak-banyak bersyukur . semoga lekas dapat rezeki",1
1139,"jadi cerita nya saya sedang ingin makan spaghetti dengan meatball yang kalau menurut ekspektasi saya adalah bakso yang terbuat dari cingcang yang biasa digunakan di menu pasta , setelah sampai , ternyata bakso yang digunakan adalah bakso olahan yang biasa dipakai di tukang bakso , bahkan bentuk nya tidak bulat . menarik .",1
5929,"resto ini cukup unik seperti kita makan di tengah sawah lengkap dengan danau dan sampan . menu beragam seperti ikan bakar daun merupakan ikan air tawar dibumbui , kemudian dibungkus daun pisang dan dibakar rasanya enak . sapi gigibrik mirip empal daging sapi sangat gurih . jamur jadi ngeunah merupakan jamur tiram digoreng tepung dan disiram saus sangat gurih . nasi timbel komplit .",1
22198,amin yom kita disini tau kok semoga undangan segera ya yom,1
4089,"nah iya , sumpah agak kecewa juga banyak army yang tutup mata sama masalah ini . sudah tutup mata terus ngejudge begitu saja , bingung deh .",-1
12982,bwahahah aku sih pasti beli dua cuma ya mengingat harus beli albumnya beli phy juga qu bisa apa qaqa,1
20828,hati modus tipu2an ala jokower kaya gini data jelek mereka spin jadi bagus data yg tidak mencapai target mere ,-1
7915,"terletak di area perumahan membuat suasana nom nom asri dan tidak bising , jika anda duduk di luar akan terasa suasana khas bandung yang adem dan berangin . harga makanan dan minuman nya sendiri standar dengan restoran sekelas nya dan rasanya pun oke . karyawan yang ramah dan fasilitas wifi membuat tempat ini nyaman dijadikan tempat mengerjakan tugas atau sekadar membaca buku",1
16750,aku rasa terbuang ,-1
10670,"goreng ayam muda basah dan cimplung perkedel kentang kanji ditambah lalap sambal dadak sangat sederhana dan membumi tetapi sangat lezat dan bersahaja . kemewahan dalam kesedarhaanaan keaslian masakan khas inilah yang membuat resto sunda ini selalu penuh pengunjung terutama di jam makan , baik oleh pengunjung dari luar kota ataupun warga bandung .",1
22442,kadang kadang apa yang kita suka tu tak semestinya kita miliki ,-1
3622,"ikan bakar , lumayan kalau siang siang , jalan , lapor makan di reda dipo . bersih , cepat saji , rasa lumayan , harga terjangkau oke .",1
10370,"memiliki konsep restoran yang sesuai dengan nama nya , dengan cara meceritakan perkembangan jalan braga di setiap sudut tembok nya . restoran ini menyajikan menu-menu handalan khas bandung . buat lidah saya , makanan di sini sangat enak karena bumbu nya yang pas dan orisinil .",1
18710,karena exo akhirnya menunjukkan batang hidungnya dan mengisyaratkan akan ada comeback pada bulan ini aku yang baik ha ,1
8561,yang benar saja masa nomer whatsapp saya di blok ! mana penanggung jawab nya ? bilang nya mau ganti rugi tapi malah di blok !,-1
12643,mbaknya takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali lagi tapi pas kondisin ,-1
7227,"salah satu tempat makan dan tempat nongkrong yang direkomendasikan teman yang oke sekali . tempat nya memang lumayan naik kalau dari kota , dan agak masuk-masuk sampai tidak terlihat kalau dari jalan utama . tapi makanan nya enak , tempat nya asik , harga nya juga standar . masih sepadan the hargalah . bolehlah kalau ke bandung datang ke sini lagi .",1
10435,"kopi nya enak dan sangat terjangkau , makanan nya enak , wifi nya kencang . cocok buat mengerjakan tugas , atau ngobrol santai . ada mainan di lantai dua , dan meja buat anak-anak . desain tempat nya bagus :",1
22428,bersedekahlah maka seribu kebaikan akan datang kepadamuemoga saudara saudara kita bisa tabah dan lebih sabar jalani c ,1
6662,"paling suka beli kue di sini buat ulang tahun atau sengaja memanjakan lidah di sini tempat nya the harvest , aku sering beli di buahbatu kebetulan tidak terlalu jauh dari rumah , cabe nya enak-enak anak aku paling suka kue chocolate aku suka yang segar-segar yang aroma buah stroberi , mangga , yang pasti semua kue di sini enak-enak puas deh menikmati nya bikin ketagihan ini lidah .",1
6705,mana taring kpk ? kasus ecek-ecek puluhan juta kamu tangkap sampai ke lubang semut sekalipun ! waraskah anda kpk ?,-1
18379,jgn nak lahirkan generasi lembab manja dan tak ada skill 15 soalan pertama tu tak sampai 30 saat boleh jawab jenis m ,-1
19007,toplesnya kuat microwave loh padahal gak punya microwave juga ,1
20520,picik presiden dan kepala negara mosok cuma urusi elektabilitas biarlah itu jadi tugas oposisi yang udah ngiler i ,-1
6860,"sautu idea yang sangat kreatif dalam mengemas usaha kuliner ditunjang dengan citra rasa yang tinggi sangat sunda klasik , dengan beragam menu makanan membuat kita ingin terus mencoba rasa masakan tersebut",1
2481,"rasa cukup lumayan dibanding dengan bubur disekitar , namun untuk harga sekelas semangkok bubur relatif agak mahal . tempat lumayan agak bersih dan pembeli cukup banyak mengantre . secara keseluruhan baik setimpal .",1
1039,"saya mengetahui restoran ini dari website nya yang mengatakan bahwa mereka telah melayani sejak zaman kolonial belanda . pada kunjungan sebelumnya , saya tidak berkesempatan makan di restoran ini karena penuh . kali ini saya berksempatan makan karena saat itu minggu sore . saya memesan triliun bone steak , dan nasi goreng . t bone steak nya tidak terlalu enak , daging nya agak keras . nasi goreng nya enak .",1
11845,tempat nya nyaman . rasanya biasa saja . pelayanan nya sangat lama . makanan keluar pun lama padahal yang makan cuma kita beri - empat .,1
237,jadi pendukung jokowi malah bikin tidak untung,-1
6505,"kami tahu tempat ini sejak tahun lalu tapi tidak punya kesempatan untuk mencoba nya sampai jumat dan sabtu malam kemarin . kesan pertama , sebuah rumah tua dan kafe yang menjual steak dan jenis makanan populer lainnya di bandung . tapi setelah melihat menu dan makanan yang datang ke meja kami . kami memutuskan akan selalu datang kembali ke tempat ini setiap kali ke bandung .",1
9867,"tidak salah lagi ini kafe modern salah satu favorit warga bandung buat makan , berkumpul seriusan tempat nya nyaman soal nya .",1
